id,army,name,type,hp,is_alive,stamina,strength,mana,intelligence
1,Heroes Army,Aragorn,warrior,160,true,45,8,-1,-1
2,Heroes Army,Gandalf,wizard,80,true,-1,-1,40,47
3,Heroes Army,Gimli,warrior,136,true,25,10,-1,-1
4,Heroes Army,Legolas,warrior,190,true,36,5,-1,-1
5,Heroes Army,Radagast,wizard,90,true,-1,-1,35,35
6,Heroes Army,Galadriel,wizard,100,true,-1,-1,48,23
7,Heroes Army,Eowyn,warrior,150,true,50,4,-1,-1
21,Sauron's Army,Troll,warrior,190,true,10,8,-1,-1
8,Sauron's Army,Troll,warrior,190,false,10,8,-1,-1
9,Sauron's Army,Sauron,wizard,80,true,-1,-1,45,49
10,Sauron's Army,Orc,warrior,100,true,15,5,-1,-1
11,Sauron's Army,Uruk-hai,warrior,150,true,20,8,-1,-1
12,Sauron's Army,Saruman,wizard,90,true,-1,-1,30,25
13,Sauron's Army,Nazgul,wizard,100,true,-1,-1,35,20
14,Sauron's Army,Orc,warrior,100,true,15,5,-1,-1
15,Sauron's Army,Troll,warrior,190,true,10,8,-1,-1
16,Sauron's Army,Orc,warrior,100,true,15,5,-1,-1
17,Sauron's Army,Uruk-hai,warrior,150,true,20,8,-1,-1
18,Sauron's Army,Uruk-hai,warrior,150,true,20,8,-1,-1
19,Sauron's Army,Nazgul,wizard,100,true,-1,-1,35,20
20,Sauron's Army,Orc,warrior,100,true,15,5,-1,-1
