name,type,hp,stamina,strength,mana,intelligence
Private First Class Orc,warrior,131,36,9,-1,-1
Major General Imperial,warrior,188,43,1,-1,-1
Staff Sergeant Bosmer,warrior,102,45,4,-1,-1
Rabastan Lestrange,wizard,88,-1,-1,11,49
Lily Potter,wizard,58,-1,-1,34,31
Rita Skeeter,wizard,58,-1,-1,43,25
Colonel Argonian,warrior,161,45,7,-1,-1
Major Orc,warrior,146,41,5,-1,-1
Second Lieutenant Imperial,warrior,181,45,1,-1,-1
Sergeant Dunmer,warrior,163,16,2,-1,-1
Private First Class Breton,warrior,147,48,7,-1,-1
